Code,Longitude,Latitude,Network,Name,Data From,Data To,Operational Currently
M0365,-78.64028,-0.82056,M,GUAYTACAMA,1963,2001,No
M0366,-78.92833,-1.11389,M,ANGAMARCA,1964,1984,No
M0367,-79.02722222,-1.142777778,M,PINLLOPATA,1965,2018,No
M0368,-79.22333333,-1.176111111,M,MORASPUNGO-COTOPAXI,1964,2017,No
M0369,-78.70277778,-1.071388889,M,CUSUBAMBA,1963,2018,No
M0370,-79.08611111,-1.116388889,M,RAMON CAMPAÑA,1967,2021,Yes
M0371,-78.627478,-0.721917,M,PASTOCALLE,1963,2018,No
M0372,-78.66667,-0.88333,M,POALO,1976,2015,No
M0373,-78.68333,-0.75,M,TOACAZO,1969,2002,No
M0374,-79.247361,-0.8745,M,SAN ANTONIO DEL DELTA(PATE),1965,2019,No
M0375,-78.6635,-0.834711,M,SAQUISILI,1979,2018,No
M0376,-78.732139,-1.301806,M,PILAHUIN,1964,2019,No
M0377,-78.668833,-1.347833,M,TISALEO,1964,2019,No
M0378,-78.298917,-1.403472,M,RIO VERDE,1964,2018,No
M0379,-78.19111,-1.40361,M,EL TOPO-TUNGURAHUA,1964,1992,No
M0380,-78.530972,-1.390389,M,HUAMBALO,1964,2018,No
M0381,-78.55694,-1.33028,M,PELILEO-TNQ.DE AGUA POTABLE,1975,1988,No
M0382,-78.60694,-1.37528,M,QUERO,1975,1990,No
M0383,-79.278628,-1.431708,M,ECHEANDIA,1968,2018,No
M0384,-79.23639,-1.94333,M,SAN JOSE DEL TAMBO,1968,1980,No
M0385,-79.020833,-1.405194,M,SALINAS-BOLIVAR,1969,2017,No
M0386,-79.06722,-1.66361,M,COCHABAMBA(MAGDALENA),1971,1999,No
M0387,-79.05,-1.2,M,FACUNDO VELA,1976,1981,No
M0388,-79.131611,-1.580111,M,RIO SAN ANTONIO-MONJAS,1965,2016,No
M0389,-78.95722,-1.28611,M,SIMIATUG,1964,1986,No
M0390,-78.7288,-1.500105556,M,URBINA,1963,2018,No
M0391,-78.972242,-2.000214,M,PALLATANGA,1966,2015,No
M0392,-78.9875,-2.297777778,M,HUIGRA,1966,2015,No
M0393,-78.782692,-1.632275,M,SAN JUAN-CHIMBORAZO,1963,2019,No
M0394,-78.76306,-1.68472,M,CAJABAMBA,1964,2001,No
M0395,-78.640833,-1.912139,M,CEBADAS,1964,2017,No
M0396,-78.50156,-1.87663,M,ALAO,1964,2019,No
M0397,-78.936742,-2.342869,M,COMPUD,1964,2016,No
M0398,-78.73889,-2.05722,M,PALMIRA INAMHI,1963,1992,No
M0399,-78.768244,-2.282686,M,ACHUPALLAS-CHIMBORAZO,1964,2018,No
M0400,-78.52833,-1.56083,M,PENIPE,1964,1985,No
M0401,-78.59722,-2.24389,M,RIO OZOGOCHE(LAGOS),1967,1983,No
M0402,-78.980389,-1.941972,M,CHIMBO DJ PANGOR,1967,2018,No
M0403,-78.8435,-2.201333,M,ALAUSI,1964,2018,No
M0404,-78.995972,-1.807242,M,CAÑI-LIMBE,1969,2020,No
M0405,-78.81388889,-2.231111111,M,GUASUNTOS,1972,2016,No
M0406,-78.60139,-1.71167,M,CHAMBO-FINCA GUADALUPE,1975,1990,No
M0407,-78.605056,-1.807944,M,LICTO,1975,2018,No
M0408,-78.63527778,-1.609166667,M,GUANO,1979,2018,No
M0409,-78.8825,-1.827777778,M,PANGOR-J.DE VELASCO(H.TEPEYAC),1969,2018,No
M0410,-78.653778,-2.577306,M,RIO MAZAR-RIVERA,1964,2019,No
M0411,-78.893278,-2.536528,M,INGAPIRCA,1964,2019,No
M0412,-79.0478732,-2.4385984,M,SUSCALPAMBA(CAPILLA DOLOROSA),1964,2019,No
M0413,-79.29833,-2.45472,M,COCHANCAY,1966,1985,No
M0414,-78.77361111,-2.675,M,CHANIN,1964,2017,No
M0415,-78.96472,-2.39361,M,ANGAS LA UNION,1976,2015,No
M0416,-78.66694,-2.78417,M,EL PAN,1963,1999,No
M0417,-79.17222222,-2.774444444,M,PISCICOLA CHIRIMICHAY,1975,2015,No
M0418,-79.01277778,-3.082777778,M,CUMBE,1963,2018,No
M0419,-79.14888889,-3.163333333,M,GIRON,1964,2019,No
M0420,-79.06666667,-3.339166667,M,NABON INAMHI,1963,2017,No
M0421,-79.161389,-3.460878,M,ONNA,1963,2007,No
M0422,-79.25722222,-2.804166667,M,HDA.STA.LUCIA-CAMINO RIRCAY,1967,2018,No
M0423,-79.185,-3.39861,M,SUSUDEL-CASERIO(L.PTE.CARR),1968,1999,No
M0424,-78.78611111,-3.048333333,M,SIGSIG INAMHI,1968,2019,No
M0425,-79.48028,-3.31417,M,TENDALES-JUBONES DJ SAN FCO.,1970,2011,No
M0426,-78.94861111,-2.850833333,M,RICAURTE-CUENCA,1964,2019,No
M0427,-79.07016667,-2.876805534,M,SAYAUSI (MATADERO DJ),1967,2018,No
M0428,-79.35861,-3.10722,M,PEDERNALES-AZUAY,1969,1985,No
M0429,-79.13166667,-2.826111111,M,SURUCUCHO(LLULLUCHIS),1964,2018,No
M0430,-79.20278,-2.78,M,QUINOAS,1975,1987,No
M0431,-78.65722,-2.80417,M,SEVILLA DE ORO,1982,2018,No
M0432,-79.26138889,-3.731944444,M,SAN LUCAS INAMHI,1960,2017,No
M0433,-79.47166667,-4.399722222,M,EL LUCERO INAMHI,1971,2018,No
M0434,-79.78888889,-4.324722222,M,SOZORANGA INAMHI,1971,2016,No
M0435,-80.02545,-4.021464,M,ALAMOR,1963,2018,No
M0436,-78.02638889,-0.416111109,M,CUYUJA,1982,2018,No
M0437,-80.19861111,-4.280833333,M,SAUCILLO(ALAMOR EN),1968,2018,No
M0438,-79.465,-4.628055556,M,JIMBURA,1975,2019,No
M0439,-79.81027778,-4.361111111,M,SABIANGO INAMHI,1964,2018,No
M0440,-78.85417,1.36,M,CHANGUARAL(ISLA SAN PEDRO),1964,1984,No
M0441,-79.630422,0.890553,M,SAGUE(SAN MATEO),1964,2017,No
M0442,-78.76889,1.13722,M,NAJURUNGO CARONDELET,1965,1989,No
M0443,-79.56667,0.96667,M,CAMARONES TACUZA,1983,2005,No
M0444,-79.702287,0.81909,M,TEAONE-TABIAZO,1964,2018,Yes
M0445,-80.68889,-1.03917,M,LOS CERROS-MONTECRISTI,1964,1985,No
M0446,-80.183419,-0.376086,M,SAN ISIDRO-MANABI,1964,2014,No
M0447,-80.41833333,-1.278777778,M,24 DE MAYO(JABONCILLO),1965,2018,No
M0448,-80.62416667,-1.152777778,M,LA LAGUNA,1964,2018,No
M0449,-80.58667,-1.25806,M,SANCAN-INAMHI,1964,2012,No
M0450,-80.77722222,-1.129444444,M,CAMARONES-MANABI,1964,2018,No
M0451,-80.53861111,-1.479444444,M,EL ANEGADO,1964,2019,No
M0452,-80.047472,-0.929139,M,ZAPOTE,1964,2014,No
M0453,-80.68888889,-1.054166667,M,CHORRILLOS,1965,2018,No
M0454,-80.288944,-1.046,M,RIO CHICO EN ALAJUELA,1967,2018,No
M0455,-80.59444444,-1.3625,M,JOA-JIPIJAPA,1970,2018,No
M0456,-80.25444,-0.27556,M,JAMA AJ MARIANO,1964,2002,No
M0457,-80.737456,-1.352739,M,PUERTO CAYO,1970,2018,No
M0458,-80.50583333,-1.578333333,M,COLIMES DE PAJAN,1970,2018,No
M0459,-80.59166667,-1.578888889,M,SAN PABLO-MANABI,1964,2019,No
M0460,-80.18972,-1.06944,M,MANCHA GRANDE,1968,1998,No
M0461,-80.42806,-0.98611,M,RIO CHICO-PECHICHE,1975,2002,No
M0462,-80.208833,-0.928583,M,JUNIN,1973,2018,No
M0463,-80.39778,-1.58333,M,CAMPOSANO # 1,1964,1985,No
M0464,-80.2245,-1.027583,M,RIO CHAMOTETE-JESUS MARIA,1968,2018,No
M0465,-79.46555556,-1.444166667,M,VENTANAS INAMHI,1964,2018,No
M0466,-79.75133889,-1.542355556,M,VINCES,1964,2016,No
M0467,-79.47333,-1.16944,M,CALABI-HDA.LORENA,1964,1983,No
M0468,-79.29972222,-1.775555556,M,MONTALVO-LOS RIOS,1975,2017,No
M0469,-79.89305556,-1.780833333,M,BABA,1976,2015,No
M0470,-79.5085,-1.186597,M,MOCACHE,1982,2018,No
M0471,-79.3175,-1.352777778,M,ZAPOTAL-LOS RIOS,1980,2018,No
M0472,-80.35722,-2.17889,M,JULIO MORENO(SIMON BOLIVAR),1965,2014,No
M0473,-80.55972,-2.315,M,ZAPOTAL-SANTA ELENA,1964,1986,No
M0474,-80.61167,-1.94194,M,FEBRES CORDERO,1964,1983,No
M0475,-80.00805556,-1.542777778,M,COLIMES DE BALZAR INAMHI,1965,2018,No
M0476,-79.99583333,-1.696111111,M,LA CAPILLA INAMHI,1967,2018,No
M0477,-79.54388889,-2.530277778,M,PUERTO INCA(CAÑAR EN),1966,2018,No
M0478,-79.78694,-2.99111,M,TENGUEL,1964,1980,No
M0479,-79.61861,-3.71056,M,PORTOVELO,1960,2002,No
M0480,-79.63472,-3.76278,M,RIO PINDO(AJ AMARILLO),1962,1986,No
M0481,-79.58333333,-3.321111111,M,USHCURRUMI,1975,2018,No
M0482,-80.197844,-3.548672,M,CHACRAS,1972,2016,No
M0483,-79.83194,-3.38917,M,RIO NEGRO,1973,1980,No
M0484,-77.83694,-0.93139,M,ARCHIDONA,1964,2007,No
M0485,-77.85694444,-1.165555556,M,ZATZAYACU AROSEMENA,1964,2019,No
M0486,-77.82556,-0.41583,M,BORJA-MISION JOSEFINA,1966,2001,No
M0487,-77.62944,0.63056,M,EL PLAYON DE SAN FRANCISCO,1968,2002,No
M0488,-77.83778,-0.87333,M,COTUNDO,1972,2005,No
M0489,-77.8525,-0.73917,M,JONDACHI,1969,1985,No
M0490,-77.82,-0.385,M,SARDINAS,1972,2018,No
M0491,-77.79444,-1.05861,M,PUERTO NAPO,1964,2000,No
M0492,-76.08333333,-0.416666667,M,PAÑACOCHA,,,No
M0493,-75.75,-1.58333,M,CANELOS,1978,1982,No
M0494,-77.83333,-1.46667,M,KM.20 VIA PUYO-ARAJUNO,1978,2015,No
M0495,-77.91667,-1.38333,M,TENIENTE HUGO ORTIZ,1982,1984,No
M0496,-77.86666667,-1.266666667,M,SANTA CLARA,,,No
M0497,-78.22195556,-2.622213889,M,LOGROÑO,1977,2014,No
M0498,-78.69361,-3.33056,M,CHIGUINDA-BERMEJOS,1979,1984,No
M0499,-78.41667,-3.21667,M,SAN CARLOS-LIMON,1982,1999,No
M0500,-78.35,-2.96667,M,PESCADO-VIA LA UNION,1982,1992,No
M0501,-78.30305556,-2.701944444,M,MENDEZ INAMHI,1971,2015,No
M0502,-78.59,-3.628333333,M,EL PANGUI,1978,2018,No
M0503,-79.086361,-3.9815,M,SAN FRANCISCO-SAN RAMON,1964,2018,No
M0504,-78.85972,-3.97722,M,CUMBARATZA,1964,1986,No
M0505,-78.61111,-3.77083,M,LOS ENCUENTROS,1979,1985,No
M0506,-78.67472222,-3.933055556,M,PAQUISHA,1982,2016,No
M0507,-89.48333,-0.85,M,PAMPA MIA-ISLA SAN CRISTOBAL,1964,1984,No
M0508,-89.53825,-0.894583,M,LA SOLEDAD-ISLA SAN CRISTOBAL,1964,2018,No
M0509,-90.48333,-1.26667,M,LA PLAYA-ISLA FLOREANA,1964,2008,No
M0510,-90.48333,-1.26667,M,ASILO DE LA PAZ-ISLA FLOREANA,1964,1983,No
M0511,-90.36667,-0.7,M,SANTA ROSA-GALAPAGOS,1974,1983,No
M0512,-90.41111111,-0.688888889,M,ZONA LA RESERVA,,,No
M0513,-90.32222222,-0.648611111,M,MEDIA LUNA-ISLA SANTA CRUZ,,,No
M0514,-91.03333,-0.85,M,VOLCAN SANTO TOMAS,1981,1981,No
M0515,-79.64444444,-4.055833333,M,CATACOCHA,1964,2018,No
M0519,-79.88333,-2.15,M,MUNICIPIO GAUYAQUIL,1976,1985,No
M0520,-79.88333,-2.15,M,CRUZ ROJA-GUAYAS,1976,1985,No
M0521,-79.7,-2.81667,M,PUENTE SOLEDAD,1976,1988,No
M0522,-79.0725,-2.49167,M,CAÑAR AJ RAURA(SAN MIGUEL),1967,1983,No
M0523,-78.92556,-2.50667,M,EL TAMBO-CAÑAR,1964,1975,No
M0524,-78.75,0.26667,M,CHONTAL ALTO,1982,1992,No
M0525,-78.33333,0.23333,M,PISABO,1975,1995,No
M0526,-78.18694,0.14056,M,CAJAS-MOJANDA,1964,1978,No
M0527,-79.41556,-2.4025,M,COCHANCAY LA CADENA,1970,1984,No
M0528,-78.74722,-0.73611,M,PAMPAS DE GUINTZA,1973,1987,No
M0529,-78.84167,-0.86,M,GUANGAJE,1973,1984,No
M0530,-78.53139,-0.91806,M,ILLUCHI-PLANTA ELECT.,1973,1984,No
M0531,0.0,0.0,M,BANCO DE ARENA,,,No
M0532,-78.41667,-0.51667,M,RIO PITA-HDA.PEDREGAL,1982,1983,No
M0533,-78.27889,-0.83778,M,CHALUPAS,1978,1984,No
M0534,-78.71722,-0.85056,M,ACCHI,1971,1986,No
M0535,-78.913972,-1.611361,M,LAS HERRERIAS,1964,2018,No
M0536,-79.32917,-2.42889,M,SAN GERARDO-CAÑAR,1975,1984,No
M0537,-79.50167,-2.45083,M,SAN JACOBO-VAINILLO,1973,1984,No
M0538,-78.67417,-2.48222,M,PAN GRANDE-SAN VICENTE,1975,1989,No
M0539,-78.06389,-2.86667,M,BUENOS AIRES-AZUAY,1975,1992,No
M0540,-79.00889,-2.1125,M,MULTITUD,1969,2012,No
M0541,-78.92083,-3.00361,M,COCHAPAMBA-QUINGEO,1974,2008,No
M0542,-79.42652778,-3.852413889,M,EL CISNE,1966,2018,No
M0543,-79.34861111,-4.138888889,M,CAJANUMA,1970,2019,No
M0544,-79.69305556,-4.316666667,M,COLAISACA,1963,2018,No
M0545,-77.96667,-0.33333,M,OYACACHI,1975,1992,No
M0546,-77.87194,-0.61667,M,COSANGA,1972,1992,No
M0547,-77.26694,0.08361,M,PUERTO AGUARICO,1981,1984,No
M0548,-78.7,-3.883333333,M,EL DORADO,,,No
M0549,-79.29083333,-0.1425,M,RIO BLANCO-QUININDE,,,No
M0550,-79.54139,0.65694,M,VICHE,1964,1979,No
M0551,-79.73333,-1.43333,M,PALENQUE,1984,1999,No
M0552,0.0,0.0,M,AMALIA-CATARAMA,,,No
M0553,-80.31666667,-2.65,M,SAN JUAN DEL MORRO,2000,2018,No
M0554,-78.51528,0.8625,M,ALTO TAMBO,1967,1992,No
M0555,-80.34833,-1.84972,M,VILLAO-PEDRO CARBO,1964,2008,No
M0556,-79.5,-1.083333333,M,QUEVEDO,,,No
M0557,-79.82083,-1.84417,M,SALITRE(COL.27 DE NOVIEMBRE),1984,1987,No
M0558,-78.45944,-0.89333,M,SANTA ELENA-CAMPAMENTO,1980,1992,No
M0559,-80.13333333,-2.3,M,SANTA MAGDALENA,,,No
M0560,-80.45,-2.4,M,VILLINGOTA,,,No
M0561,-78.31667,-0.15,M,LA MERCED DE CARABURO,1975,1978,No
M0562,-78.27611,0.76111,M,RIO BLANCO INECEL,1964,1992,No
M0563,-77.312783,-0.69869,M,LORETO,1982,2019,No
M0564,-78.25,-2.183333333,M,YURUPAZA,,,No
M0565,0.0,0.0,M,HDA.BALBINA,,,No
M0566,-78.29139,-0.0775,M,ASCAZUBI INAMHI,1967,1971,No
M0567,-80.24333,-1.05944,M,SAN PLACIDO INAMHI,1964,1970,No
M0568,-80.22417,-3.44722,M,HUALTACO,1963,1976,No
M0569,-79.86667,-3.64361,M,SARACAY,1963,1985,No
M0570,-78.05,0.5,M,CHOTA CHIQUITO,1963,1965,No
M0571,-78.19139,0.4675,M,TUMBABIRO,1963,1984,No
M0572,-78.42694,-0.19222,M,CUMBAYA,1964,1980,No
M0573,-78.1,0.125,M,CHAUPI,1964,1980,No
M0574,-78.35056,0.00306,M,HDA.JERUSALEN,1964,1972,No
M0575,-79.38389,-0.07028,M,RIO MACHE,1964,1977,No
M0576,-79.34028,-0.52944,M,SALGANA-H.S.ANTONIO DE ILA,1964,1978,No
M0577,-78.37167,-0.63694,M,CAJAS PEDREGAL,1964,1975,No
M0579,-78.58778,-1.04056,M,SALCEDO-CENTRO AGRICOLA,1963,1976,No
M0580,-78.46667,-1.1,M,YANAYACU-HDA.PUCARA,1963,1973,No
M0582,-79.04028,-1.70778,M,SAN MIGUEL DE BOLIVAR,1964,1980,No
M0583,-78.66727778,-2.630388873,M,PINDILIG,1965,2013,No
M0584,-79.215,-3.88694,M,LAS JUNTAS PUCALA,1964,1984,No
M0585,-78.55,0.95,M,EL PLACER-ESTACION FF CC,,,No
M0586,-78.7725,1.06667,M,SAN JAVIER-ESTACION FF CC,1964,1972,No
M0587,-78.67611,0.14056,M,NANEGAL,1976,1992,No
M0589,-80.24388889,-1.635555556,M,GUALE,1964,2018,No
M0590,-79.98972,0.26667,M,COJIMIES,1964,1979,No
M0592,-80.26667,-2.33139,M,CERECITA,1964,1977,No
M0593,-79.08167,0.08833,M,PEDRO VICENTE MALDONADO-INECEL,1976,1992,No
M0594,-78.21667,-0.21667,M,LA MICA,1965,1965,No
M0596,-78.41083,0.82417,M,CACHACO,1960,1973,No
M0597,-78.05806,0.42361,M,PIMAN CHICO,1964,1972,No
M0598,-79.2075,-0.410833333,M,COOPERATIVA LUZ DE AMERICA,,,No
M0599,-78.86444,-1.40639,M,RIO COLORADO,1964,1991,No
M0600,0.0,0.0,M,UNGUI,,,No
M0601,-90.28333,-0.43333,M,CHARLES DARWIN INECEL,1982,1984,No
M0602,-90.83333,-0.2,M,BAHIA SAN SALVADOR,1964,1975,No
M0603,-78.12472,0.46417,M,SALINAS-IMBABURA INAMHI,1964,1986,No
M0604,-78.38278,0.25361,M,SIGSICUNGA-HDA.,1964,1994,No
M0605,-78.31068,0.05423,M,COCHASQUI-HDA. INAMHI,1966,1966,No
M0606,-78.5,-0.21667,M,QUITO-U.CENTRAL,1964,1973,No
M0607,-78.80944,0.28389,M,MANDURIACO CHICO,1982,1992,No
M0608,0.0,0.0,M,LIMONES,,,No
M0609,-79.385,0.13139,M,AMANCAY-QUININDE,1964,1964,No
M0610,-80.43333,-0.56667,M,SAN VICENTE- MANABI,1964,1975,No
M0611,-80.41667,-0.58333,M,BAHIA DE CARAQUEZ AEROPUERTO,1964,1989,No
M0612,-78.82444,0.14194,M,GUAYCUYACU,1982,1992,No
M0613,-80.24861,-0.77333,M,TOSAGUA,1964,1964,No
M0614,-79.81417,-1.0475,M,PICHINCHA-MANABI,1964,1973,No
M0615,-80.23333,-1.1,M,HONORATO VASQUEZ-POZA HONDA,1964,1964,No
M0616,-79.66722222,-1.108888889,M,COFFEA ROBUSTA,,,No
M0617,-79.46666667,-0.916666667,M,VALENCIA-VERGEL,,,No
M0618,-78.49,-0.099444444,M,EL CONDADO(PG1D),,,No
M0619,-80.74861111,-1.852777778,M,MANGLARALTO,1989,2018,No
M0620,-79.55389,-2.25472,M,HDA.PAYO,1964,1966,No
M0621,-78.52306,0.40694,M,CUELLAJE,1977,1992,No
M0622,-78.41667,-0.48333,M,RIO PITA AJ SALTO,1967,1980,No
M0623,-79.59667,-0.26472,M,PALMERAS UNIDAS(PALMAR),1964,2012,No
M0625,-78.88833,-2.71,M,BIBLIAN INECEL,1975,1987,No
M0626,-79.54722,0.71722,M,HDA.TABUCHE(KM.41 ESM-QUI),1965,1968,No
M0627,-79.43333,0.46667,M,CTO.ZAPOTAL-KM.16 VIA QUININDE,1966,1969,No
M0628,-78.06389,0.15861,M,HDA.PESILLO,1965,1976,No
M0629,-78.43056,-0.93139,M,SALAYAMBO-LAGUNA,1965,1985,No
M0630,-78.41667,-1.08333,M,LAS JUNTAS-PISAYAMBO,1965,1973,No
M0631,-78.42916667,-0.5,M,CONGONA(PERIPA-PTO.ILA),,,No
M0632,-79.60888889,0.8175,M,HDA.TIMBRE(KM.22 ESM-QUI),,,No
M0633,-79.38333333,0.016666667,M,HDA.SAN RAFAEL(KM.49 SDO-QUI),,,No
M0634,-79.33333333,-0.05,M,HDA.LA MACARENA(KM.39 SDO-QUI),,,No
M0635,-79.2,-0.183333333,M,HDA.EL TINGO(KM.12 SDO-QUI),,,No
M0636,-79.33333333,-0.4,M,HDA.CAFI(KM.29 SDO-QUE),,,No
M0637,0.0,0.0,M,HDA.LOUSIANA(PERIPA),,,No
M0638,-79.5,-0.716666667,M,HDA.PITITA(KM.43 SDO-QUE),,,No
M0639,-79.5,-0.883333333,M,HDA.PILARCITA(KM.22 QUE-SDO),,,No
M0640,0.0,0.0,M,HDA.CHAVICA(LIM.LOS VERGELES),,,No
M0642,-79.28333333,-0.933333333,M,HDA.NACHITA(KM.31 QUE-MANA),,,No
M0643,0.0,0.0,M,HDA.MOPA(QUE-ZAPOTAL),,,No
M0644,-79.55,-1.1,M,HDA.LUZ MARIA(KM.18 QUE-EMP),,,No
M0645,0.0,0.0,M,ESTACION EXP.DE PICHILINGUE,,,No
M0646,-79.46666667,-1.133333333,M,HDA.EL SAUCE(KM.8 MOCACHE),,,No
M0647,-79.73333333,-1.4,M,HDA.PTO.PALENQUE(PALENQUE),,,No
M0648,-79.73333333,-1.483333333,M,HDA.LA MARIA(8 KM.DE VINCES),,,No
M0649,-79.43333333,-1.416666667,M,HDA.LA VICTORIA(VENT-ZAPOTAL),,,No
M0650,-79.46666667,-1.55,M,HDA.NUEVA UNION(CATARAMA),,,No
M0651,-79.51667,-1.51667,M,HDA.CERRITOS(KM.3 P.VIEJO),1976,1976,No
M0652,0.0,0.0,M,HDA.ZOILITA(KM.6 DE MILAGRO),,,No
M0653,0.0,0.0,M,HDA.ROCAFUERTE(ROCAFUERTE),,,No
M0655,0.0,0.0,M,HDA.CECILIA(KM.72 DURAN-TAMBO),,,No
M0656,0.0,0.0,M,HDA.LEONCIO BARBA(KM.21 TRCAL),,,No
M0657,-79.83333333,-2.916666667,M,HDA.STA.RITA(BALAO),,,No
M0658,0.0,0.0,M,HDA.PENSILVANIA(SEC.NORTE),,,No
M0659,0.0,0.0,M,HDA.STA.CLARA(EL GUABO),,,No
M0660,-79.91666667,-3.3,M,ESTACION EXP.DE MACHALA-DNB,,,No
M0661,-80.76666667,-2.233333333,M,BAÑOS SAN VICENTE,,,No
M0662,0.0,0.0,M,KM.24 GUASLAN,,,No
M0663,0.0,0.0,M,YARUQUIES-CHIMBORAZO,,,No
M0664,-78.78583,-3.04806,M,SIGSIG INECEL,1975,1994,No
M0665,-79.41667,-2.9125,M,CHAUCHA,1978,1992,No
M0666,-79.17333,-3.16833,M,SAN FERNANDO INECEL,1968,1992,No
M0667,-79.21944,-2.7,M,PATUL,1982,1992,No
M0668,-78.7,-3.0,M,MATAGLO-GULAG,1978,1992,No
M0669,-78.95194,-3.19278,M,GIMA,1978,1992,No
M0670,-78.73083,-3.33639,M,SAN MIGUEL DE CUYES,1978,1992,No
M0671,-78.60833,-2.55139,M,HUANGRA,1978,1992,No
M0672,-78.66667,-2.62083,M,MANZANAHUAICO,1979,1993,No
M0673,-78.383333,-2.7,M,COPAL,1982,1992,No
M0674,-78.52111,-3.11333,M,SAN JUAN BOSCO,1982,1993,No
M0675,-78.38333,-2.16667,M,ZUÑAC,1982,1992,No
M0676,-78.31139,-2.70278,M,MENDEZ INECEL,1978,1993,No
M0677,-78.11167,-2.11361,M,UPANO DJ VOLCAN,1982,1993,No
M0678,-79.01667,-4.03333,M,SABANILLA,1977,1984,No
M0679,-78.66667,-4.01667,M,HUAYSIMI,1982,1992,No
M0680,-78.92639,-3.63417,M,YACUAMBI(28 DE MAYO),1976,1992,No
M0681,-78.96833,-3.54528,M,YACUAMBI EN TUTUPALI,1982,1988,No
M0682,-78.89667,-3.68833,M,YACUAMBI EN LA PAZ,1982,1989,No
M0683,-78.76667,-0.45,M,CHITOA,1982,1985,No
M0684,-79.08333,-4.54528,M,VALLADOLID,1982,1992,No
M0685,-79.13333,-4.86444,M,ZUMBA,1982,1992,No
M0686,-78.78306,-2.36806,M,LINDILIG,1982,1992,No
M0687,-78.98778,-2.48861,M,HONDO HUAYCO,1982,1987,No
M0688,-78.33888889,-1.138888889,M,EL GOLPE,,,No
M0689,-78.37777778,-1.172222222,M,PARAMOS JARAMILLO,,,No
M0690,-78.53694,-2.25583,M,ATILLO,1979,1981,No
M0691,-78.66667,-2.18528,M,TOTORAS,1979,1992,No
M0692,-78.51667,1.18167,M,TOBAR DONOSO,1982,1988,No
M0693,-78.32722,0.62722,M,BUENOS AIRES-IMBABURA,1982,1993,No
M0694,-78.11444,0.90889,M,MALDONADO-CARCHI,1982,1992,No
M0695,-78.13278,-3.0425,M,SANTIAGO,1979,1992,No
M0696,-78.18472,-1.93417,M,LANGOA Y MULATOS,1982,1991,No
M0697,-77.493889,0.206111,M,PUERTO LIBRE (SP.COFANES),1982,2014,No
M0698,-77.545639,0.473222,M,LA BONITA,1982,2018,No
M0699,-77.74778,-0.46861,M,BORJA SUPERIOR,1985,1988,No
M0700,-78.10666667,-0.478611111,M,QUIJOS SUPERIOR,,,No
M0701,-77.93722222,-0.083333333,M,SALADO AJ CASCABEL,,,No
M0702,-77.44806,-0.155,M,CODO SINCLAIR SUPERIOR,1982,1983,No
M0703,-77.33333,-0.01667,M,CODO SINCLAIR INFERIOR,1984,1988,No
M0704,-77.95527778,-0.2975,M,SAN JUAN GRANDE,,,No
M0705,-77.94027778,-0.198055556,M,SARAHURCO SUR,,,No
M0706,-77.93333333,-0.648611111,M,COSANGA SUPERIOR,,,No
M0707,-77.74638889,-0.353888889,M,MURALLAS DEL MEDIO,,,No
M0708,-77.85444444,-0.225555556,M,CABECERAS SANTA ROSA,,,No
M0709,-77.46666667,-1.5,M,PAYAMINO,,,No
M0710,-77.36425,-0.914472,M,CHONTA PUNTA,1982,2017,No
M0711,-78.13333,-0.91667,M,MULATOS AJ VERDEYACU,1982,1982,No
M0712,-77.933333,-2.833333,M,YAUPI,1982,1988,No
M0713,-77.66667,-0.86667,M,SUMACO(CERRO),1982,1987,No
M0714,-77.86666667,0.016666667,M,PLANADA VIRGEN,,,No
M0715,-78.86667,0.91667,M,SELVA ALEGRE-ONZOLE,1982,1991,No
M0716,-78.91667,0.18333,M,TELEMBI-ONZOLE,1982,1986,No
M0717,-78.81667,-0.41667,M,TANDAPI INECEL,1982,1993,No
M0718,-78.91667,-0.6,M,AZACHE,1967,1989,No
M0719,-78.78333,-0.46667,M,SARAPULLO MEDIO,1965,1984,No
M0720,-78.31667,-1.26667,M,RIO VERDE MEDIO,1982,1992,No
M0721,-78.73111,0.22444,M,MESA MIRAVALLE(DEL CHONTAL),1982,1992,No
M0722,-78.58638889,0.385277778,M,TOABUNCHI,,,No
M0723,-78.66667,-2.63472,M,MANZANAPATA,1975,1979,No
M0724,-78.37278,-1.05639,M,ANGAHUANO,1969,1973,No
M0725,-78.39555556,-1.129444444,M,YANACOCHA,,,No
M0726,-77.71666667,-0.15,M,SALADO AJ GUATARI,,,No
M0727,-77.86667,0.68333,M,EL VOLADERO,1984,1984,No
M0728,-77.98333,0.65,M,MIRADOR-INGUEZA,1984,1984,No
M0729,-77.9,0.61667,M,EL AZUFRAL,1984,1984,No
M0730,-78.6325,-0.6025,M,LLULLUCHIS,1976,1988,No
M0731,-78.4625,-0.82611,M,CAJAS-CUCHITINGUE,1975,1984,No
M0732,-78.72083,-1.06083,M,RUMIQUINCHA,1973,1984,No
M0733,-79.32,-2.51556,M,BOCATOMA-CAÑAR,1966,1984,No
M0734,-77.94167,0.095,M,RIO ARTURO,1984,1984,No
M0735,-79.67888889,-3.611666667,M,AYAPAMBA,1975,2018,No
M0736,-79.82361111,-3.7625,M,BALSAS,1975,2018,No
M0737,-80.08333333,-3.708333333,M,EL MANGO,,,No
M0738,-79.49222222,-3.459166667,M,GUANAZAN,1981,2017,No
